日期,指数名称,指数代码,当前PE,当前PB,最高PE,最低PE,PE百分位,最高PB,最低PB,PB百分位,ROE,当前PB倍数,分组,成交额,涨跌量,涨跌幅,收盘价,开盘价,最高价,最低价
2019-07-01,中证消费,000932.SH,36.16,6.98,40.2,17.15,94.91%,6.98,2.79,100%,19.55%,1.0000,HIGH,313.143亿元,633.31,4.1259%,15982.8905,15617.3144,15986.1287,15544.4477
2019-07-02,中证消费,000932.SH,36.32,7,40.2,17.15,95.17%,7,2.79,100%,19.55%,1.0000,HIGH,285.233亿元,71.291,0.4460%,16054.1823,15939.1590,16073.7341,15884.4711
2019-07-03,中证消费,000932.SH,35.42,6.82,40.2,17.15,93.78%,7,2.79,99.92%,19.55%,1.0264,HIGH,373.836亿元,-395.6,-2.464%,15658.5557,15962.1368,16054.7018,15565.6104
2019-07-04,中证消费,000932.SH,34.9,6.73,40.2,17.15,92.71%,7,2.79,99.9%,19.57%,1.0401,HIGH,275.629亿元,-230.4,-1.471%,15428.0977,15649.6266,15707.5735,15343.6598
2019-07-05,中证消费,000932.SH,35.84,6.9,40.2,17.15,94.56%,7,2.79,99.92%,19.57%,1.0145,HIGH,310.761亿元,414.45,2.6863%,15842.5497,15498.7410,15901.0146,15485.3805
2019-07-08,中证消费,000932.SH,35.4,6.81,40.2,17.15,93.67%,7,2.79,99.79%,19.59%,1.0279,HIGH,300.686亿元,-194.9,-1.230%,15647.579,15846.8064,15848.0837,15443.2539
2019-07-09,中证消费,000932.SH,35.46,6.81,40.2,17.15,94.08%,7,2.79,99.76%,19.59%,1.0279,HIGH,268.582亿元,29.536,0.1887%,15677.1159,15598.8653,15792.3924,15507.9887
2019-07-10,中证消费,000932.SH,35.5,6.82,40.2,17.15,94.14%,7,2.79,99.83%,19.59%,1.0264,HIGH,206.153亿元,16.637,0.1061%,15693.753,15746.4790,15820.0277,15628.5309
2019-07-11,中证消费,000932.SH,35.43,6.8,40.2,17.15,93.89%,7,2.79,99.69%,19.59%,1.0294,HIGH,232.220亿元,-47.14,-0.300%,15646.6122,15796.5075,15877.2863,15599.8537
2019-07-12,中证消费,000932.SH,35.69,6.84,40.2,17.15,94.35%,7,2.79,99.83%,19.56%,1.0234,HIGH,208.386亿元,116.44,0.7441%,15763.055,15669.1580,15820.9578,15653.7257
