日期,指数名称,指数代码,当前PE,当前PB,最高PE,最低PE,PE百分位,最高PB,最低PB,PB百分位,ROE,当前PB倍数,分组,成交额,涨跌量,涨跌幅,收盘价,开盘价,最高价,最低价
2019-07-01,中证1000,000852.SH,35.52,2.25,144.82,23.81,,8.14,1.71,,5.84%,3.6178,NA,1390.46亿元,159.97,3.0061%,5481.4086,5418.2126,5481.4086,5392.4450
2019-07-02,中证1000,000852.SH,35.53,2.25,144.82,23.81,,8.14,1.71,,5.84%,3.6178,NA,1265.89亿元,2.1064,0.0384%,5483.515,5482.4430,5501.1176,5462.7286
2019-07-03,中证1000,000852.SH,35.18,2.23,144.82,23.81,,8.14,1.71,,5.84%,3.6502,NA,1122.47亿元,-55.00,-1.003%,5428.5142,5465.9452,5465.9452,5408.5787
2019-07-04,中证1000,000852.SH,35.02,2.22,144.82,23.81,,8.14,1.71,,5.84%,3.6667,NA,1047.99亿元,-24.13,-0.444%,5404.3836,5435.4839,5450.2892,5381.0469
2019-07-05,中证1000,000852.SH,35.15,2.22,144.82,23.81,,8.14,1.71,,5.84%,3.6667,NA,912.524亿元,19.866,0.3675%,5424.2503,5404.7070,5433.6930,5379.8883
2019-07-08,中证1000,000852.SH,33.98,2.15,144.82,23.81,,8.14,1.71,,5.850%,3.7860,NA,1103.52亿元,-179.9,-3.316%,5244.2661,5410.2030,5410.2030,5221.9525
2019-07-09,中证1000,000852.SH,34.09,2.16,144.82,23.81,,8.14,1.71,,5.850%,3.7685,NA,856.809亿元,16.077,0.3065%,5260.3435,5239.8572,5270.4595,5203.8547
2019-07-10,中证1000,000852.SH,33.79,2.14,144.82,23.81,,8.14,1.71,,5.850%,3.8037,NA,804.763亿元,-45.69,-0.868%,5214.6441,5267.2726,5271.2411,5196.8176
2019-07-11,中证1000,000852.SH,33.77,2.14,144.82,23.81,,8.14,1.71,,5.850%,3.8037,NA,815.215亿元,-8.245,-0.158%,5206.3985,5236.6561,5271.6128,5180.9560
2019-07-12,中证1000,000852.SH,33.85,2.15,144.82,23.81,,8.14,1.71,,5.850%,3.7860,NA,778.459亿元,12.790,0.2456%,5219.1888,5209.2959,5229.8417,5173.0520
2019-07-15,中证1000,000852.SH,34.21,2.17,144.82,23.81,,8.14,1.71,,5.850%,3.7512,NA,964.270亿元,54.626,1.0466%,5273.8148,5203.5765,5289.0110,5140.8042
2019-07-16,中证1000,000852.SH,34.28,2.17,144.82,23.81,,8.14,1.71,,5.850%,3.7512,NA,838.118亿元,11.414,0.2164%,5285.229,5264.6468,5289.0108,5254.6226
2019-07-17,中证1000,000852.SH,34.31,2.18,144.82,23.81,,8.14,1.71,,5.86%,3.7339,NA,919.365亿元,4.1953,0.0793%,5289.4244,5282.5622,5312.7067,5269.2443
2019-07-18,中证1000,000852.SH,33.7,2.14,144.82,23.81,,8.14,1.71,,5.86%,3.8037,NA,871.639亿元,-94.82,-1.792%,5194.6017,5265.3666,5265.3666,5194.6017
2019-07-19,中证1000,000852.SH,33.86,2.15,144.82,23.81,,8.14,1.71,,5.86%,3.7860,NA,806.050亿元,25.425,0.4894%,5220.0273,5205.7277,5263.3397,5205.7017
2019-07-22,中证1000,000852.SH,32.91,2.09,144.82,23.81,,8.14,1.71,,5.86%,3.8947,NA,853.644亿元,-146.6,-2.808%,5073.3332,5222.0634,5222.3428,5067.0982
2019-07-23,中证1000,000852.SH,33.28,2.11,144.82,23.81,,8.14,1.71,,5.86%,3.8578,NA,667.865亿元,57.764,1.1385%,5131.0973,5072.7687,5131.0973,5072.7687
2019-07-24,中证1000,000852.SH,33.7,2.14,144.82,23.81,,8.14,1.71,,5.86%,3.8037,NA,830.936亿元,63.731,1.2420%,5194.829,5141.9438,5219.1496,5141.9002
2019-07-25,中证1000,000852.SH,33.8,2.14,144.82,23.81,,8.14,1.71,,5.87%,3.8037,NA,808.725亿元,16.256,0.3129%,5211.0858,5193.6549,5220.1252,5181.2772
2019-07-26,中证1000,000852.SH,33.84,2.15,144.82,23.81,,8.14,1.71,,5.88%,3.7860,NA,738.878亿元,5.5160,0.1058%,5216.6018,5201.5594,5222.3282,5188.2417
2019-07-29,中证1000,000852.SH,33.85,2.15,144.82,23.81,,8.14,1.71,,5.88%,3.7860,NA,729.100亿元,2.3813,0.0456%,5218.9831,5217.9298,5235.0095,5197.0211
2019-07-30,中证1000,000852.SH,33.99,2.16,144.82,23.81,,8.14,1.71,,5.88%,3.7685,NA,802.012亿元,20.734,0.3972%,5239.7181,5217.0661,5269.3144,5216.8137
2019-07-31,中证1000,000852.SH,33.74,2.14,144.82,23.81,,8.14,1.71,,5.89%,3.8037,NA,762.203亿元,-39.62,-0.756%,5200.0945,5229.1418,5229.1418,5193.1799
2019-08-01,中证1000,000852.SH,33.56,2.13,144.82,23.81,,8.14,1.71,,5.89%,3.8216,NA,746.332亿元,-26.86,-0.516%,5173.2289,5172.0823,5201.4808,5151.3939
2019-08-02,中证1000,000852.SH,33.03,2.09,144.82,23.81,,8.14,1.71,,5.89%,3.8947,NA,904.042亿元,-82.16,-1.588%,5091.0633,5073.9988,5101.1354,5047.3943
